"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
14/12/2023;1690533380;2;AMORTIGUADOR;;;;;;1
12/12/2023;1679743280;1;"E:TRIÁNG SUSP";;312762093;;;"No disponible";1
30/11/2023;1675873780;1;"MOTOR DI EST";;312693854;;;"No disponible (penuria)";1
28/11/2023;1607832480;1;"ETIQUETA CONST";;312743771;VR7EFYHT2NN574286;;"PR con clave";1
11/09/2023;1692728880;1;"TUBO FREON";;312152858;;;"No disponible (penuria)";1
28/08/2023;1684869680;1;"TUBO FREON";;;;;"Pieza remplazada";1
16/08/2023;1684869680;1;"TUBO FREON";;;;;"Pieza remplazada";1
