"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
12/12/2023;22853698;1;"O:LUNA PB";;;;;"No disponible";
15/11/2023;50057744;1;"CENTALITAS INYECCION";;8683764;3C4NJCCHXJT374349;;19/12/2023;
14/11/2023;71740943;1;TAPON;;;;;20/12/2023;
14/11/2023;71798213;1;"MOTOR RECOND.";;8683749;ZARPAGPX1K7C61955;;;
08/11/2023;52013328;1;"BLUE AND ME";;;ZFA25000002432000;;19/12/2023;
03/11/2023;50290974;5;"JUEGO ALFOMBRILLAS";;;;;29/12/2023;
02/11/2023;K05143983AA;1;CILINDRO;;;;;;
19/09/2023;K04777997AA;8;TORNILLO;;;;;;
