"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
29/08/2023;453467;1;"KIT CONTACTOR";;;;;"No disponible (penuria)";
25/08/2023;1671973780;1;"ALFOMBR GOMA AV AR DAG";;312057012;;;"No disponible";
25/08/2023;9812447280;1;"PANT TÉRMICA";;312057041;;;"No disponible";
23/08/2023;1634154080;1;"MOTOR DI EST";;312043507;;;"No disponible (penuria)";
11/08/2023;1682620880;1;"DEPÓSITO UREA";;312113440;;;"No disponible (penuria)";
24/07/2023;1682615580;1;"RES UREA CAMB E";++;311886979;VF3LBBHYBHS218503;;20/09/2023;
24/07/2023;4404A0;1;"TAPA ESTRIBO";+++;;;;20/09/2023;
11/07/2023;98101650BJ;1;"GUARNECIDO I";+++;311821517;;;20/09/2023;
05/07/2023;1682620880;1;"DEPÓSITO UREA";;312153830;;;"No disponible (penuria)";
